"Story","Title","Result","Date","Stability","Duration (s)"
"Add product to cart","Add a popular product, and keep buying one of the best-selling products","ERROR","2020-12-25T13:12:43.471-05:00[America/Bogota]","0.0","27.3"
"Add product to cart","Add products according to price, of a specific category","ERROR","2020-12-25T13:13:40.997-05:00[America/Bogota]","0.0","60.97"
